candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Warren,fight-48,black-29,people-28,big-28,plan-24,women-23,make-23,change-23,can-23,im-22,got-19,rights-19,everyone-18,grassroots-17,families-17,power-17,president-16,corruption-16,care-16,structural-16,i’m-16,country-16,time-15,family-15,fighting-15,history-14,government-14,work-14,end-14,movement-13,white-13,working-12,want-12,grateful-12,workers-12,right-11,stand-11,afraid-11,trump-11,climate-11,atlanta-11,american-10,build-10,take-10,loan-10,america-10,ive-10,rich-10,powerful-10,debt-10
Biden,president-61,trump-44,donald-31,country-30,day-27,violence-20,plan-20,care-20,take-20,i’m-20,american-19,health-19,can-19,it’s-18,nation-18,today-17,get-17,change-16,against-15,world-15,build-14,white-13,chip-13,im-13,ensure-13,work-13,americans-12,climate-12,joe-12,soul-12,make-12,middle-12,know-12,cannot-12,act-11,years-11,women-11,iowa-11,house-11,give-11,biden-11,stage-11,class-11,best-11,people-11,i’ll-11,help-11,like-11,ready-11,deserve-10
Booker,country-27,can-22,people-18,today-17,fight-16,president-14,communities-13,new-13,day-13,love-13,justice-13,americans-11,plan-11,work-11,rights-10,team-10,big-10,know-10,community-9,live-9,everyone-9,trump-9,get-9,end-8,violence-8,see-8,grateful-8,right-8,join-8,please-8,cory-8,proud-8,years-7,gun-7,city-7,housing-7,black-7,debate-7,election-7,way-7,time-7,happy-7,economic-7,going-7,opportunity-7,back-7,i’m-7,make-7,campaign-7,first-7
Yang,today-16,yang-15,happy-15,new-13,day-12,great-11,family-10,time-10,trash-10,campaign-10,first-9,thankful-8,picking-8,thanksgiving-7,turkey-7,community-6,andrew-6,made-6,best-6,people-6,year-5,making-5,local-5,dad-5,back-5,go-5,december-5,amazing-5,support-5,like-5,said-5,spent-5,service-4,million-4,way-4,hey-4,politics-4,excited-4,take-4,getting-4,helping-4,i’m-4,hour-4,single-4,goal-4,math-4,help-4,proud-4,th…-3,left-3
Sanders,people-40,workers-27,stand-24,going-23,fight-23,end-22,union-21,country-20,working-17,right-16,campaign-16,join-15,white-14,health-14,make-14,movement-13,house-13,care-13,big-13,like-13,year-12,live-12,win-12,bernie-12,take-12,corporate-12,time-11,medicare-11,wage-10,against-10,rights-10,trump-10,greed-10,class-10,america-10,fighting-10,get-10,can-10,pay-9,million-9,new-9,want-9,sanders-9,political-9,proud-9,family-8,years-8,today-8,president-8,americans-7
Harris,justice-40,president-28,people-27,fight-21,can-21,black-19,women-18,trump-17,make-16,families-16,take-15,criminal-15,it’s-14,day-14,plan-13,children-13,get-13,end-12,iowa-12,time-12,care-12,ballot-12,i’m-12,american-11,working-11,house-11,health-11,country-11,i’ll-11,community-10,system-10,communities-10,today-10,white-10,im-10,stay-10,living-9,ensure-9,like-9,americans-8,act-8,gun-8,administration-8,deserve-8,action-8,stand-8,mental-8,help-8,democratic-7,rights-7
Gabbard,tulsi-33,people-22,president-16,country-16,go-15,live-13,gabbard-12,day-12,good-11,new-11,can-11,war-10,make-10,debate-9,town-9,nh-9,like-9,hall-8,americans-8,today-8,trump-8,great-8,hampshire-8,join-8,support-8,aloha-7,policy-7,way-7,peace-7,party-7,i’m-7,friends-7,veterans-7,oil-7,love-7,foreign-7,democratic-6,truth-6,service-6,american-6,it’s-6,grateful-6,take-6,back-6,serve-6,donors-6,single-6,work-6,help-6,that’s-5
Castro,stage-24,people-23,debate-18,plan-17,candidate-16,make-16,i’m-15,get-15,can-15,communities-14,america-14,campaign-14,it’s-13,housing-13,black-13,right-13,like-13,end-12,americans-11,food-11,first-11,@juliancastro-10,fighting-10,secretary-10,folks-9,tonight-9,today-9,day-9,country-9,hunger-9,live-8,city-8,everyone-8,can’t-8,issues-8,small-8,president-8,immigration-8,work-8,community-7,voters-7,working-7,iowa-7,white-7,race-7,trump-7,castro-7,going-7,see-7,brown-7
Klobuchar,president-30,today-26,people-25,iowa-23,can-22,win-21,like-21,country-19,going-18,work-15,new-15,great-15,get-15,time-14,we’re-14,campaign-14,first-14,day-13,family-13,trump-12,i’m-12,night-11,america-11,senate-11,see-11,big-11,americans-10,w-10,good-10,american-10,it’s-10,house-10,make-10,election-10,morning-10,said-10,act-9,debate-9,security-9,thanksgiving-8,want-8,right-8,back-8,democracy-8,i’ll-8,bills-8,rights-8,come-8,taking-7,thats-7
ORourke,country-34,people-32,trump-29,end-23,president-23,america-23,can-22,violence-20,like-19,gun-18,stand-18,lives-16,epidemic-16,everyone-15,americans-14,right-14,make-14,join-13,donald-12,lets-12,it’s-12,today-12,plan-12,health-12,year-11,women-11,face-11,campaign-11,act-10,care-10,going-10,hold-10,killed-10,congress-10,get-10,racism-10,stop-9,against-9,law-9,want-9,kids-9,accountable-9,full-9,way-9,fear-9,change-9,first-9,own-9,justice-9,rights-8
Trump,impeachment-36,president-29,democrats-28,great-22,trump-16,schiff-13,people-13,american-12,new-12,it’s-10,ukraine-10,pelosi-10,evidence-9,house-9,hoax-9,adam-9,support-9,thanksgiving-8,thing-8,time-8,hearings-8,country-8,republican-8,drug-8,says-7,wrong-7,navy-7,day-7,dems-7,get-7,said-7,act-6,testify-6,way-6,say-6,going-6,hearing-6,go-6,prices-6,work-6,left-5,independents-5,russia-5,read-5,today-5,want-5,news-5,republicans-5,far-5,important-5
